ID,状態,レベル,ジャンル,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,元のCanvaデザイン,備考
D01-01,出題中,小学生,せかいのお金,世界で一番大きいお金の直径は、どれくらい？（1円玉の直径は2cm）,60cm,1.8m,3.6m,5.4m,3.6m,日本のちょうど南にあるヤップ島で昔使われていた「フェイ」という石のお金です。海をわたって他の島から数か月かけて石をとってきたので、苦労が大きいほど価値が高くなりました。家を買うときや結婚式のおくり物など大きな支払いに使われ、持ち運べないものは「持ち主が変わる」だけ。だれもぬすもうとしないお金です。今はアメリカのドルを使っています。,Canva「クイズ集」,
D01-02,出題中,小学生,ぜいきん,今、日本にある税金はどれ？,うさぎ税,入湯税,ポテトチップス税,独身税,入湯税,温泉に入るときにはらう税金で、よりよい温泉づくりに役立てられています。うさぎ税は約150年前の明治時代に本当にありました。うさぎを飼うのが大流行して高値で取引され、にせものやサギがふえたので、流行を落ち着かせるために作られた税金です。ポテトチップス税はハンガリーに今もあり、独身税は昔のブルガリアにありました。,Canva「クイズ集」,
D01-03,出題中,小学生,日本のお金,2024年に発行された新しい1万円札に描かれている人はだれ？,渋沢栄一,津田梅子,北里柴三郎,聖徳太子,渋沢栄一,「近代日本経済の父」とよばれ、日本で初めて銀行をつくり、500以上の会社の立ち上げにかかわった人です。津田梅子は新しい5千円札、北里柴三郎は新しい千円札の人。聖徳太子は昔のお札に7回も登場した「お札の顔」ですが、今回は選ばれませんでした。,Canva「クイズ集」,
D01-04,出題中,小学生,日本のお金,2024年に発行された新しい5千円札に描かれている人はだれ？,樋口一葉,津田梅子,紫式部,渋沢栄一,津田梅子,6歳のときに日本で初めての女子留学生としてアメリカにわたり、帰国後に女子英学塾（今の津田塾大学）をつくった人。女の子の教育に力をつくしました。樋口一葉は前の5千円札の人、紫式部は2千円札のうらに描かれています。,Canva「クイズ集」,
D01-05,出題中,小学生,日本のお金,2024年に発行された新しい千円札に描かれている人はだれ？,野口英世,夏目漱石,北里柴三郎,津田梅子,北里柴三郎,「日本医学の父」とよばれるお医者さんで、破傷風という病気の治療法を見つけました。野口英世は前の千円札、夏目漱石はそのさらに前の千円札の人です。,Canva「クイズ集」,
D01-06,出題中,小学生,日本のお金,1円玉に描かれている木は、何の木？,桜の木,ブナの木,松の木,実在しない木,実在しない木,1円玉の木は「若木」といって、特定の種類の木ではありません。すくすくと育っていく日本をイメージした、想像上の木なのです。1955年にデザインが一般から募集されて決まりました。,Canva「クイズ集」,
D01-07,出題中,小学生,日本のお金,1円玉は1円では作れません。1枚作るのに、いくらかかる？,1円,約3円,約10円,約30円,約3円,1円玉はアルミニウムでできていて、材料代と作る手間をあわせると1枚あたり約3円かかるといわれています。つまり作れば作るほど赤字！ キャッシュレスが広がって、最近はほとんど新しく作られていません。,Canva「クイズ集」,
D01-08,出題中,小学生,日本のお金,1万円札を1枚作るのに、いくらかかる？,約3円,約20円,約200円,"約2,000円",約20円,"1万円札は国立印刷局で作られています。2025年度にお札を作るのにかかったお金（約639億円）を作った枚数（約28億5,000万枚）で割ると、1枚あたり約22円。4つの中では「約20円」が一番近い答えです。3Dホログラムなどのにせもの防止の技術が入った新しいお札は、前のお札（約18円）より高くなりました（2026年5月時点、日本銀行の決算と財務省の製造枚数）。1万円の価値があるのは、「みんなが1万円として使える」と信じているからなのです。",Canva「クイズ集」,
D01-09,出題中,小学生,ぜいきん,消費税が世界で一番高い国の税率は？（日本は10％）,15％,21％,27％,35％,27％,"ヨーロッパのハンガリーという国で、買い物をすると27％の消費税がかかります。1,000円のものを買うと1,270円！ ヨーロッパの国は20％前後のところが多く、世界の平均は約17.6％。日本の10％は世界で見ると低いほうです。（2023年のデータ）",Canva「クイズ集」,
D01-10,出題中,小学生,ぜいきん,小学生1人が6年間学校に通うために使われる税金は、いくらくらい？,約5万円,約50万円,約500万円,"約5,000万円",約500万円,公立の小学校は授業料がタダですが、先生のお給料や校舎、教科書などに児童1人あたり1年で約90万円の税金が使われています。6年間だと約500万円以上。みんなが学校で学べるのは、税金のおかげなのです。,Canva「クイズ集」,
D01-11,出題中,小学生,ものの値段,日本で800円くらいのラーメン。物価の高いスイスの都市チューリッヒで食べると、日本円にしていくらくらい？,"約1,400円","約3,000円","約5,500円","約11,000円","約5,500円","スイスは世界でも物価（ものの値段）がとても高い国。チューリッヒのラーメン店では1杯29.5スイスフラン（2025年）。2026年9月15日の相場（1スイスフラン＝189.4円）で計算すると約5,500円になります。日本のラーメン店がスイスに出した店も1杯5,000円前後。同じものでも国によって値段は大きくちがい、為替（円とフランを交換するレート）が動くと、日本円にしたときの値段も変わります。日本のごはんは安くておいしいと世界中から人気です。",Canva「クイズ集」,為替連動（29.5スイスフラン＝1倍を正解に、1/4・1/2・1倍・2倍で毎回作り直す） / 為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D02-01,出題中,小学生,日本のお金,日本でこれまでに発行された、一番高い金額のお金は？,1万円,10万円,100万円,1億円,10万円,"天皇陛下の記念として作られた「10万円金貨」です。金でできていて、1986年のものは20g、1990年のものは30g。作られたころは金1gが約2,000円だったので、中身は4〜6万円分でした。ところが金の値段はどんどん上がって、今は1gが約23,700円（2026年9月16日ごろ）。20gの金貨なら金だけで約47万円、30gなら約71万円にもなります！ だから「使えるけど、だれも使わない」お金なのです。",Canva「お金のクイズ」豆ちしき編,為替・金相場・日付の差し込みあり（画面では最新の相場で表示）
D02-02,出題中,小学生,日本のお金,"2,000円札が発行されたのはいつ？",1920年,1980年,2000年,2020年,2000年,2000年に沖縄で開かれた国際会議「沖縄サミット」を記念して作られました。おもてには沖縄・首里城の守礼門、うらには紫式部と源氏物語が描かれています。今はほとんど見かけませんが、沖縄県ではまだたくさん使われていて、観光客にも人気です。,Canva「お金のクイズ」豆ちしき編,
D02-03,出題中,小学生,日本のお金,"2,000円札のおもてに描かれている建物は？",守礼門（沖縄）,金閣寺（京都）,東京タワー,大阪城,守礼門（沖縄）,"沖縄県那覇市にある首里城の門で、「礼節を重んじる」という意味の名前です。2,000円札は沖縄サミットの記念なので、沖縄のシンボルが選ばれました。",Canva「お金のクイズ」豆ちしき編,
D02-04,出題中,小学生,日本のお金,明治時代の10円札「甲10円券」に描かれていて、ニックネームにもなっている動物は？,ブタ,イノシシ,ウシ,シカ,イノシシ,「イノシシ券」とよばれています。描かれている和気清麻呂という奈良時代の人が、悪い人におそわれたとき、イノシシの大群に助けられたという言い伝えがあるからです。京都の護王神社には、今もイノシシの像があります。,Canva「お金のクイズ」豆ちしき編／「お金のクイズ 幼児用」,
D02-05,出題中,小学生,ものの値段,明治32年（1899年）に発行された10円札。当時の10円は、今のお金にすると、いくらくらい？,10円,100円,"5,000円",約10万円,約10万円,"今から125年以上前の10円は、今の10万円くらいの価値がありました。当時の一番小さいお金の単位は「厘」で、1,000厘＝1円。ものの値段が長い時間をかけて上がっていく（インフレ）と、同じ「10円」でも買えるものが変わってしまうのです。",Canva「お金のクイズ」豆ちしき編,
D02-06,出題中,小学生,ことわざ,ことわざ「金は天下の回りもの」の意味は？,お金は一人のところにとどまらず、人々の間をめぐるもの,お金持ちは天下をとれる,お金は回すとふえる,お金は空からふってくる,お金は一人のところにとどまらず、人々の間をめぐるもの,お金は使えばだれかのところへ行き、またいつか自分のところにもどってくる。「今お金がなくても、そのうちめぐってくるよ」というはげましの意味でも使われます。,Canva「お金のクイズ」ことわざ編,
D02-07,出題中,小学生,ことわざ,ことわざ「金に糸目をつけない」の意味は？,お金を持っていると幸せになれる,必要なときはお金をおしまずに使う,お金に糸を結んで落とさない,お金を細かく数える,必要なときはお金をおしまずに使う,「糸目」はたこ揚げのたこをあやつる糸のこと。糸目をつけないたこは、どこまでも飛んでいってしまいます。そこから「お金をためらわずにどんどん使う」という意味になりました。,Canva「お金のクイズ」ことわざ編,
